"merchant_raw","count"
"AMAZON MKTPL #1000","1"
"AMAZON.COM #1007","2"
"WALMART #1014","3"
"TARGET #1021","4"
"COSTCO WHSE #1028","5"
"STARBUCKS #1035","6"
"MCDONALDS #1042","7"
"CHIPOTLE #1049","8"
"SUBWAY #1056","1"
"DUNKIN #1063","2"
"SHELL OIL #1070","3"
"CHEVRON #1077","4"
"EXXONMOBIL #1084","5"
"BP GAS #1091","6"
"SPEEDWAY #1098","7"
"UBER #1105","8"
"UBER EATS #1112","1"
"LYFT #1119","2"
"DOORDASH #1126","3"
"GRUBHUB #1133","4"
"NETFLIX #1140","5"
"SPOTIFY #1147","6"
"HULU #1154","7"
"DISNEY PLUS #1161","8"
"YOUTUBE PREMIUM #1168","1"
"APPLE #1175","2"
"GOOGLE #1182","3"
"MICROSOFT #1189","4"
"ADOBE #1196","5"
"DROPBOX #1203","6"
"HOME DEPOT #1210","7"
"LOWES #1217","8"
"BEST BUY #1224","1"
"IKEA #1231","2"
"WAYFAIR #1238","3"
"CVS PHARMACY #1245","4"
"WALGREENS #1252","5"
"RITE AID #1259","6"
"KROGER #1266","7"
"SAFEWAY #1273","8"
"TRADER JOES #1280","1"
"WHOLE FOODS #1287","2"
"ALDI #1294","3"
"PUBLIX #1301","4"
"WINCO FOODS #1308","5"
"DELTA AIR #1315","6"
"UNITED AIRLINES #1322","7"
"SOUTHWEST #1329","8"
"MARRIOTT #1336","1"
"HILTON #1343","2"
"PETCO #1350","3"
"PETSMART #1357","4"
"CHEWY #1364","5"
"GAMESTOP #1371","6"
"BARNES NOBLE #1378","7"
"PLANET FITNESS #1385","8"
"LA FITNESS #1392","1"
"PELOTON #1399","2"
"NIKE #1406","3"
"ADIDAS #1413","4"
"AMAZON MKTPL POS DEBIT","1"
"AMAZON.COM POS DEBIT","2"
"WALMART POS DEBIT","3"
"TARGET POS DEBIT","4"
"COSTCO WHSE POS DEBIT","5"
"STARBUCKS POS DEBIT","1"
"MCDONALDS POS DEBIT","2"
"CHIPOTLE POS DEBIT","3"
"AMAZON MKTPL PURCHASE CARD","4"
"AMAZON.COM PURCHASE CARD","5"
"WALMART PURCHASE CARD","1"
"TARGET PURCHASE CARD","2"
"COSTCO WHSE PURCHASE CARD","3"
"STARBUCKS PURCHASE CARD","4"
"MCDONALDS PURCHASE CARD","5"
"CHIPOTLE PURCHASE CARD","1"
"AMAZON MKTPL RECURRING PAYMENT","2"
"AMAZON.COM RECURRING PAYMENT","3"
"WALMART RECURRING PAYMENT","4"
"TARGET RECURRING PAYMENT","5"
"COSTCO WHSE RECURRING PAYMENT","1"
"STARBUCKS RECURRING PAYMENT","2"
"MCDONALDS RECURRING PAYMENT","3"
"CHIPOTLE RECURRING PAYMENT","4"
"AMAZON MKTPL ONLINE PMT","5"
"AMAZON.COM ONLINE PMT","1"
"WALMART ONLINE PMT","2"
"TARGET ONLINE PMT","3"
"COSTCO WHSE ONLINE PMT","4"
"STARBUCKS ONLINE PMT","5"
